,Unnamed: 0,Partido,Estado,NOME
0,0,DEM,Acre,ALAN RICK
1,1,SD,Acre,DRA. VANDA MILANI
2,2,MDB,Acre,FLAVIANO MELO
3,3,MDB,Acre,JESSICA SALES
4,4,PDT,Acre,JESUS SERGIO
5,5,PSDB,Acre,MARA ROCHA
6,6,PRB,Acre,PASTOR MANUEL MARCOS
7,7,PC do B,Acre,PERPETUA ALMEIDA
8,8,PP,Alagoas,ARTHUR LIRA
9,9,MDB,Alagoas,ISNALDO BULHOES
10,10,PSB,Alagoas,JHC
